postal_code,locality,province,phone_prefix
1761,20 De Junio,Buenos Aires,
6660,25 De Mayo,Buenos Aires,
6405,30 De Agosto,Buenos Aires,
1776,9 De Abril,Buenos Aires,
6500,9 De Julio Estafeta Nº2,Buenos Aires,
6500,9 De Julio (Partido Nueve De Julio),Buenos Aires,
1903,Abasto,Buenos Aires,
7228,Abbott,Buenos Aires,
6450,Abel,Buenos Aires,
8170,Abra De Hinojo,Buenos Aires,
1640,Acassuso,Buenos Aires,
7003,Aceilan,Buenos Aires,
2717,Acevedo,Buenos Aires,
6627,Achupallas,Buenos Aires,
7136,Adela,Buenos Aires,
8000,Adela Corti,Buenos Aires,291
6430,Adolfo Alsina,Buenos Aires,
1901,Adolfo F. Orma (Apeadero F.G.B.),Buenos Aires,
7513,Adolfo Gonzalez Chaves,Buenos Aires,
1612,Adolfo Sourdeaux,Buenos Aires,
1846,Adrogue,Buenos Aires,
1722,Aerodromo Albatros,Buenos Aires,
1802,Aeropuerto Ezeiza,Buenos Aires,
6608,Agote,Buenos Aires,
1746,Agua De Oro,Buenos Aires,
8105,Aguara,Buenos Aires,
2701,Aguas Corrientes,Buenos Aires,
2915,Aguirrezabala,Buenos Aires,
1723,Agustin Ferrari,Buenos Aires,
6667,Agustin Mosconi,Buenos Aires,
6001,Agustin Roca,Buenos Aires,
6001,Agustina,Buenos Aires,
6463,Alagon,Buenos Aires,
6437,Alamos,Buenos Aires,
6703,Alastuey (Apeadero F.C.G.U.),Buenos Aires,
6405,Albariño,Buenos Aires,
6034,Alberdi,Buenos Aires,
6634,Alberti,Buenos Aires,
8101,Aldea Romana,Buenos Aires,
8126,Aldea San Andres,Buenos Aires,
7406,Aldecon,Buenos Aires,
1770,Aldo Bonzi,Buenos Aires,
1987,Alegre,Buenos Aires,
1864,Alejandro Korn,Buenos Aires,
1808,Alejandro Petion (Apeadero Fcgr),Buenos Aires,
6437,Alfa,Buenos Aires,
6555,Alfalad,Buenos Aires,
8117,Alferez San Martin,Buenos Aires,
6533,Alfredo Demarchi,Buenos Aires,
8136,Algarrobo (Pdo.Villarino),Buenos Aires,
1676,Alianza Almacenes,Buenos Aires,
1676,Alianza Talleres,Buenos Aires,
2751,Almacen Castro,Buenos Aires,
2752,Almacen Del Descanso,Buenos Aires,
2751,Almacen El Cruce,Buenos Aires,
2740,Almacen La Colonia,Buenos Aires,
2711,Almacen Piatti,Buenos Aires,
1676,Almacenes Ffcc.Gral.San Martin,Buenos Aires,
1846,Almirante Brown,Buenos Aires,
1629,Almirante Irizar,Buenos Aires,
8109,Almirante Solier,Buenos Aires,
2938,Alsina,Buenos Aires,
8181,Alta Vista,Buenos Aires,
6601,Altamira,Buenos Aires,
1986,Altamirano,Buenos Aires,
1617,Alto Del Talar,Buenos Aires,
2801,Alto Verde,Buenos Aires,
7303,Altona,Buenos Aires,
1806,Altos De Tristan Suarez,Buenos Aires,
7267,Alvarez De Toledo,Buenos Aires,
1921,Alvarez Jonte,Buenos Aires,
7403,Alvaro Barros,Buenos Aires,
7021,Alzaga,Buenos Aires,
6516,Amalia,Buenos Aires,
8508,Ambrosio P. Lezica,Buenos Aires,
6064,Ameghino,Buenos Aires,
6237,America,Buenos Aires,
6607,Anasagasti,Buenos Aires,
6451,Ancon,Buenos Aires,
6555,Andant,Buenos Aires,
6621,Anderson,Buenos Aires,
6634,Andres Vaccarezza,Buenos Aires,
7011,Aneque Grande,Buenos Aires,
1901,Angel Etcheverry,Buenos Aires,
7243,Antonio Carboni,Buenos Aires,
7305,Antonio De Los Heros,Buenos Aires,
8158,Aparicio,Buenos Aires,
1909,Arana,Buenos Aires,
6443,Arano,Buenos Aires,
6643,Araujo,Buenos Aires,
6557,Arboledas,Buenos Aires,
1915,Arbuco (Desvio Fcgr),Buenos Aires,
6005,Arenales,Buenos Aires,
6075,Arenaza,Buenos Aires,
8134,Argerich,Buenos Aires,
8164,Arguedas (Desvio),Buenos Aires,
7163,Arias,Buenos Aires,
7301,Ariel,Buenos Aires,
1602,Aristobulo Del Valle,Buenos Aires,
2740,Arrecifes,Buenos Aires,
6007,Arribeños,Buenos Aires,
1649,Arroyo Abra Vieja,Buenos Aires,
1649,Arroyo Aguaje Del Durazno,Buenos Aires,
8174,Arroyo Aguas Blancas,Buenos Aires,
2800,Arroyo Aguila Negra,Buenos Aires,
1649,Arroyo Albarracin,Buenos Aires,
2805,Arroyo Aleli,Buenos Aires,
1649,Arroyo Amantes,Buenos Aires,
1649,Arroyo Amarillo,Buenos Aires,
1649,Arroyo Amarillo Palmas,Buenos Aires,
1649,Arroyo Andresito,Buenos Aires,
1649,Arroyo Angelito,Buenos Aires,
1649,Arroyo Angostura,Buenos Aires,
1649,Arroyo Anguilas,Buenos Aires,
1649,Arroyo Animas,Buenos Aires,
1649,Arroyo Animitas,Buenos Aires,
1649,Arroyo Antequera,Buenos Aires,
1649,Arroyo Antequerita,Buenos Aires,
1649,Arroyo Arroyon,Buenos Aires,
1649,Arroyo Arroyon De Felicaria,Buenos Aires,
1649,Arroyo Baldosas,Buenos Aires,
1649,Arroyo Baltico,Buenos Aires,
1649,Arroyo Banco,Buenos Aires,
1649,Arroyo Barca Grande,Buenos Aires,
1649,Arroyo Boca Falsa,Buenos Aires,
1649,Arroyo Borasso,Buenos Aires,
1649,Arroyo Borches,Buenos Aires,
2800,Arroyo Botija Falsa,Buenos Aires,
1649,Arroyo Buena Vista,Buenos Aires,
2935,Arroyo Burgos,Buenos Aires,
1649,Arroyo Busto,Buenos Aires,
